cnt, msgCnt, gpsSecond, latitude, longitude, elevation, latError, lonError, speedMS2, speedMPH, heading, fwdAccel, latAccess, vertAccel, yawRate
106994,106994,22600,33.4723197,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
107069,107069,22699,33.4723438,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
107144,107144,22800,33.472368,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
107219,107219,22899,33.4723921,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
107294,107294,23000,33.4724163,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
107369,107369,23100,33.4724405,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
107444,107444,23199,33.4724647,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
107519,107519,23300,33.4724888,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
107594,107594,23399,33.472513,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
107669,107669,23500,33.4725372,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
107744,107744,23600,33.4725614,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
107819,107819,23699,33.4725856,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
107894,107894,23800,33.4726097,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
107969,107969,23899,33.472634,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
108044,108044,24000,33.4726581,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
108118,108118,24100,33.4726823,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
108193,108193,24199,33.4727064,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
108268,108268,24300,33.4727306,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
108343,108343,24399,33.4727547,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
108418,108418,24500,33.4727789,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
108493,108493,24600,33.4728031,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
108568,108568,24699,33.4728273,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
108643,108643,24800,33.4728514,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
108718,108718,24899,33.4728756,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
108793,108793,25000,33.4728998,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
108868,108868,25100,33.4729239,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
108943,108943,25199,33.4729481,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
109018,109018,25300,33.4729723,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
109093,109093,25399,33.4729965,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
109168,109168,25500,33.4730206,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
109243,109243,25600,33.4730449,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
109318,109318,25699,33.4730691,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
109393,109393,25800,33.4730933,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
109468,109468,25899,33.4731175,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
109543,109543,26000,33.4731416,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
109618,109618,26100,33.4731658,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
109693,109693,26199,33.4731901,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
109768,109768,26300,33.4732143,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
109843,109843,26399,33.4732384,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
109918,109918,26500,33.4732626,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
109993,109993,26600,33.4732867,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
110068,110068,26699,33.4733109,-112.0384069,139,3.79,3.79,0,97,1,0,0,0,0
110143,110143,26800,33.4733351,-112.0384069,139,3.79,3.79,0,96,1,0,0,0,0
110218,110218,26899,33.4733594,-112.0384066,139,3.79,3.79,0,97,1,0,0,0,0
110293,110293,27000,33.4733835,-112.0384062,139,3.79,3.79,0,96,1,0,0,0,0
110368,110368,27100,33.4734077,-112.0384057,139,3.79,3.79,0,96,2,0,0,0,0
110443,110443,27199,33.4734318,-112.0384052,139,3.79,3.79,0,96,2,0,0,0,0
110518,110518,27300,33.473456,-112.0384047,139,3.79,3.79,0,97,2,0,0,0,0
110593,110593,27399,33.4734802,-112.0384043,139,3.79,3.79,0,97,2,0,0,0,0
110668,110668,27500,33.4735043,-112.0384038,139,3.79,3.79,0,96,2,0,0,0,0
110743,110743,27600,33.4735285,-112.0384033,139,3.79,3.79,0,97,2,0,0,0,0
110818,110818,27699,33.4735526,-112.0384029,139,3.79,3.79,0,96,2,0,0,0,0
110893,110893,27800,33.4735768,-112.0384024,139,3.79,3.79,0,96,2,0,0,0,0
110968,110968,27899,33.4736009,-112.0384019,139,3.79,3.79,0,96,2,0,0,0,0
111043,111043,28000,33.4736251,-112.0384015,139,3.79,3.79,0,97,2,0,0,0,0
111118,111118,28100,33.4736493,-112.038401,139,3.79,3.79,0,96,2,0,0,0,0
111193,111193,28199,33.4736735,-112.0384005,139,3.79,3.79,0,97,2,0,0,0,0
111268,111268,28300,33.4736976,-112.0384001,139,3.79,3.79,0,96,2,0,0,0,0
111342,111342,28399,33.4737218,-112.0383996,139,3.79,3.79,0,97,2,0,0,0,0
111417,111417,28500,33.473746,-112.0383991,139,3.79,3.79,0,97,2,0,0,0,0
111492,111492,28600,33.4737702,-112.0383987,139,3.79,3.79,0,97,2,0,0,0,0
111567,111567,28699,33.4737944,-112.0383982,139,3.79,3.79,0,97,2,0,0,0,0
111642,111642,28800,33.4738186,-112.0383977,139,3.79,3.79,0,97,2,0,0,0,0
111717,111717,28899,33.4738428,-112.0383973,139,3.79,3.79,0,96,2,0,0,0,0
111792,111792,29000,33.4738675,-112.038397,139,3.79,3.79,0,96,1,0,0,0,0
111867,111867,29100,33.4738934,-112.0383971,139,3.79,3.79,0,97,1,0,0,0,0
111942,111942,29199,33.4739176,-112.0383976,139,3.79,3.79,0,96,360,0,0,0,0
112017,112017,29300,33.4739418,-112.0383982,139,3.79,3.79,0,97,359,0,0,0,0
112092,112092,29399,33.473966,-112.0383987,139,3.79,3.79,0,96,359,0,0,0,0
112167,112167,29500,33.4739901,-112.0383993,139,3.79,3.79,0,96,359,0,0,0,0
112242,112242,29600,33.4740144,-112.0383998,139,3.79,3.79,0,97,359,0,0,0,0
112317,112317,29699,33.4740386,-112.0384004,139,3.79,3.79,0,96,359,0,0,0,0
112392,112392,29800,33.4740628,-112.0384009,139,3.79,3.79,0,96,359,0,0,0,0
112467,112467,29899,33.4740869,-112.0384015,139,3.79,3.79,0,96,359,0,0,0,0
112542,112542,30000,33.4741112,-112.038402,139,3.79,3.79,0,97,359,0,0,0,0
112616,112616,30100,33.4741354,-112.0384026,139,3.79,3.79,0,97,359,0,0,0,0
112691,112691,30199,33.4741596,-112.0384031,139,3.79,3.79,0,96,359,0,0,0,0
112766,112766,30300,33.4741837,-112.0384037,139,3.79,3.79,0,96,359,0,0,0,0
112841,112841,30399,33.4742079,-112.0384042,139,3.79,3.79,0,96,359,0,0,0,0
112916,112916,30500,33.4742321,-112.0384048,139,3.79,3.79,0,96,359,0,0,0,0
112991,112991,30600,33.4742562,-112.0384053,139,3.79,3.79,0,96,359,0,0,0,0
113066,113066,30699,33.4742804,-112.0384059,139,3.79,3.79,0,96,359,0,0,0,0
113141,113141,30800,33.4743046,-112.0384061,139,3.79,3.79,0,96,360,0,0,0,0
113216,113216,30899,33.4743288,-112.0384057,139,3.79,3.79,0,96,1,0,0,0,0
113291,113291,31000,33.474353,-112.0384052,139,3.79,3.79,0,96,1,0,0,0,0
113366,113366,31100,33.4743771,-112.0384048,139,3.79,3.79,0,96,1,0,0,0,0
113441,113441,31199,33.4744013,-112.0384043,139,3.79,3.79,0,97,1,0,0,0,0
113516,113516,31300,33.4744256,-112.0384039,139,3.79,3.79,0,97,1,0,0,0,0
113591,113591,31399,33.4744498,-112.0384035,139,3.79,3.79,0,96,1,0,0,0,0
113666,113666,31500,33.4744739,-112.038403,139,3.79,3.79,0,96,1,0,0,0,0
113741,113741,31600,33.4744982,-112.0384026,139,3.79,3.79,0,97,1,0,0,0,0
113816,113816,31699,33.4745223,-112.0384021,139,3.79,3.79,0,96,1,0,0,0,0
113891,113891,31800,33.4745465,-112.0384017,139,3.79,3.79,0,96,1,0,0,0,0
113966,113966,31899,33.4745708,-112.0384012,139,3.79,3.79,0,97,1,0,0,0,0
114041,114041,32000,33.474595,-112.0384008,139,3.79,3.79,0,97,1,0,0,0,0
114116,114116,32100,33.4746192,-112.0384003,139,3.79,3.79,0,97,1,0,0,0,0
114191,114191,32199,33.4746434,-112.0383999,139,3.79,3.79,0,96,1,0,0,0,0
114266,114266,32300,33.4746675,-112.0383994,139,3.79,3.79,0,96,1,0,0,0,0
114341,114341,32399,33.4746918,-112.038399,139,3.79,3.79,0,97,1,0,0,0,0
114416,114416,32500,33.474716,-112.0383985,139,3.79,3.79,0,97,1,0,0,0,0
114491,114491,32600,33.4747402,-112.0383976,139,3.79,3.79,0,96,2,0,0,0,0
114566,114566,32699,33.4747644,-112.0383965,139,3.79,3.79,0,96,3,0,0,0,0
114641,114641,32800,33.4747885,-112.0383954,139,3.79,3.79,0,96,3,0,0,0,0
114716,114716,32899,33.4748127,-112.0383944,139,3.79,3.79,0,97,3,0,0,0,0
114791,114791,33000,33.4748369,-112.0383933,139,3.79,3.79,0,96,3,0,0,0,0
114866,114866,33100,33.4748612,-112.0383923,139,3.79,3.79,0,97,3,0,0,0,0
114941,114941,33199,33.4748854,-112.0383912,139,3.79,3.79,0,97,3,0,0,0,0
115016,115016,33300,33.4749096,-112.0383901,139,3.79,3.79,0,96,3,0,0,0,0
115091,115091,33399,33.4749337,-112.0383891,139,3.79,3.79,0,96,3,0,0,0,0
115166,115166,33500,33.4749579,-112.038388,139,3.79,3.79,0,96,3,0,0,0,0
115241,115241,33600,33.474982,-112.038387,139,3.79,3.79,0,96,3,0,0,0,0
115316,115316,33699,33.4750062,-112.0383859,139,3.79,3.79,0,96,3,0,0,0,0
115391,115391,33800,33.4750304,-112.0383849,139,3.79,3.79,0,96,3,0,0,0,0
115466,115466,33899,33.4750546,-112.0383838,139,3.79,3.79,0,97,3,0,0,0,0
115541,115541,34000,33.4750788,-112.0383827,139,3.79,3.79,0,96,3,0,0,0,0
115616,115616,34100,33.4751029,-112.0383817,139,3.79,3.79,0,96,3,0,0,0,0
115691,115691,34199,33.4751272,-112.0383806,139,3.79,3.79,0,97,3,0,0,0,0
115766,115766,34300,33.4751513,-112.0383795,139,3.79,3.79,0,96,3,0,0,0,0
115841,115841,34399,33.4751755,-112.0383784,139,3.79,3.79,0,96,3,0,0,0,0
115916,115916,34500,33.4751997,-112.0383773,139,3.79,3.79,0,97,3,0,0,0,0
115991,115991,34600,33.4752239,-112.0383762,139,3.79,3.79,0,96,3,0,0,0,0
116066,116066,34699,33.4752481,-112.0383751,139,3.79,3.79,0,97,3,0,0,0,0
116141,116141,34800,33.4752724,-112.038374,139,3.79,3.79,0,97,3,0,0,0,0
