cnt,msgCnt,gpsSecond,latitude,longitude,elevation,latError,lonError,speedMS2,speedMPH,heading,fwdAccel,latAccess,vertAccel,yawRate
1220,68,39670,40.72571848,-74.53724575,47.2,0.05,0.05,0,38.277,264.07,-0.02,-0.29,-0.1,-1.45
1221,69,39890,40.72571643,-74.53727292,47.4,0.05,0.05,0,38.775,264.06,-0.28,-0.02,1.01,-2.33
1222,70,40180,40.72571365,-74.53730911,47.5,0.05,0.05,0,38.803,263.92,-0.03,-0.05,0.26,-2.11
1223,71,40460,40.72571064,-74.53734555,47.7,0.05,0.05,0,38.867,263.68,-0.13,-0.09,0.02,-2.23
1224,72,40750,40.72570752,-74.53738231,47.9,0.05,0.05,0,38.944,263.47,-0.31,-0.46,-0.16,-2
1225,73,41040,40.72570425,-74.5374192,48.1,0.05,0.05,0,39.384,263.24,0,-0.14,-0.13,-1.97
1226,74,41330,40.72570086,-74.53745626,48.3,0.05,0.05,0,39.685,263.12,-0.17,0.24,-0.43,-1.97
1227,75,41620,40.72569739,-74.53749367,48.4,0.05,0.05,0,39.741,262.92,0.25,0.28,-0.52,-2.07
1228,76,41900,40.72569389,-74.5375311,48.6,0.05,0.05,0,40.147,262.86,-0.49,-0.1,0.05,-1.88
1229,77,42190,40.7256903,-74.53756865,48.8,0.05,0.05,0,40.046,262.73,0.18,0.27,0.55,-2.13
1230,78,42480,40.72568665,-74.53760615,49,0.05,0.05,0,39.882,262.57,-0.06,-0.03,0.56,-1.51
1231,79,42700,40.72568384,-74.53763424,49.1,0.05,0.05,0,40.002,262.52,0.41,0.01,0.57,-2.15
1232,80,42910,40.72568113,-74.53766221,49.2,0.05,0.05,0,39.528,262.49,-0.07,0.12,0.12,-1.84
1233,81,43200,40.72567734,-74.53769946,49.4,0.05,0.05,0,39.532,262.41,0.2,-0.03,0.1,-2.12
1234,82,43490,40.72567353,-74.53773639,49.6,0.05,0.05,0,39.224,262.32,-0.49,-0.39,0.27,-1.64
1235,83,43780,40.72566963,-74.53777316,49.8,0.05,0.05,0,39.357,262.18,1.14,0.34,-0.15,-1.77
1236,84,44060,40.72566579,-74.53780953,50,0.05,0.05,0,38.686,262.24,0.17,-0.22,1.18,-1.45
1237,85,44350,40.72566199,-74.53784515,50.1,0.05,0.05,0,37.665,262.16,-0.31,0.58,1,-1.5
1238,86,44570,40.72565924,-74.53787132,50.3,0.05,0.05,0,36.729,262.1,0.09,0.26,0.89,-1.81
1239,87,44780,40.7256566,-74.53789687,50.4,0.05,0.05,0,36.012,262.22,0.08,-0.07,0.59,-0.97
1240,88,45000,40.72565404,-74.53792192,50.5,0.05,0.05,0,35.399,262.29,-0.37,0.24,0.04,-1.9
1241,89,45290,40.72565063,-74.53795469,50.7,0.05,0.05,0,34.398,262.2,0.04,0.04,-0.04,-1.54
1242,90,45500,40.72564802,-74.53797875,50.8,0.05,0.05,0,33.962,262.14,-0.17,0.19,-0.18,-1.82
1243,91,45720,40.72564545,-74.53800253,50.9,0.05,0.05,0,33.593,262.07,0.13,-0.11,0.04,-1.72
1244,92,45940,40.72564293,-74.53802599,51,0.05,0.05,0,33.291,261.96,-0.08,-0.01,-0.07,-1.83
1245,93,46220,40.72563949,-74.53805685,51.2,0.05,0.05,0,32.781,261.78,0.01,-0.12,-0.08,-1.64
1246,94,46440,40.7256369,-74.53807975,51.2,0.05,0.05,0,32.504,261.65,0.06,0.16,-0.04,-1.83
1247,95,46660,40.72563436,-74.5381026,51.3,0.05,0.05,0,32.54,261.55,-0.03,-0.02,-0.48,-1.88
1248,96,46870,40.72563176,-74.53812549,51.4,0.05,0.05,0,32.721,261.46,0.07,-0.05,-0.22,-2.01
1249,97,47160,40.72562814,-74.53815634,51.5,0.05,0.05,0,33.204,261.31,-0.36,-0.26,-0.63,-2.13
1250,98,47450,40.72562443,-74.53818783,51.6,0.05,0.05,0,34.098,261.17,-0.02,-0.16,-0.49,-1.86
1251,99,47660,40.72562151,-74.53821198,51.7,0.05,0.05,0,34.631,261.03,-0.23,-0.09,-0.14,-1.98
1252,100,47880,40.7256185,-74.53823643,51.7,0.05,0.05,0,35.157,260.87,0.17,0.31,0.19,-1.85
1253,101,48100,40.72561545,-74.53826106,51.8,0.05,0.05,0,35.281,260.71,0.01,-0.01,0.01,-1.88
1254,102,48380,40.72561119,-74.5382943,51.9,0.05,0.05,0,35.766,260.49,-0.27,-0.04,-0.28,-1.69
1255,103,48600,40.725608,-74.53831938,51.9,0.05,0.05,0,35.98,260.36,0.05,-0.12,0.14,-2.01
1256,104,48820,40.72560469,-74.53834471,51.9,0.05,0.05,0,36.344,260.36,0.06,-0.08,0.16,-1.75
